,event_type,strength_state
2990,shot-on-goal,Other
2991,shot-on-goal,Other
2993,shot-on-goal,4v5
2995,shot-on-goal,5v5
2997,shot-on-goal,5v5
3005,missed-shot,5v5
3006,shot-on-goal,5v5
3009,shot-on-goal,5v5
3012,shot-on-goal,5v5
3013,shot-on-goal,5v5
3014,shot-on-goal,5v5
3018,shot-on-goal,5v5
3020,missed-shot,5v5
3021,shot-on-goal,5v5
3025,missed-shot,5v5
3031,shot-on-goal,5v5
3038,shot-on-goal,5v5
3039,missed-shot,5v5
3040,missed-shot,5v5
3053,shot-on-goal,5v4
3058,missed-shot,5v5
3063,shot-on-goal,5v5
3068,missed-shot,5v5
3082,shot-on-goal,5v5
3084,shot-on-goal,5v5
3092,missed-shot,5v5
3093,missed-shot,5v5
3095,missed-shot,5v5
3096,shot-on-goal,5v5
3097,goal,5v5
3100,goal,5v5
3102,shot-on-goal,5v5
3105,shot-on-goal,5v5
3111,goal,Other
3114,shot-on-goal,Other
3116,shot-on-goal,Other
3118,shot-on-goal,Other
3120,shot-on-goal,5v5
3121,shot-on-goal,5v5
3124,shot-on-goal,5v5
3125,shot-on-goal,5v5
3126,shot-on-goal,5v5
3127,shot-on-goal,5v5
3131,missed-shot,5v5
3138,shot-on-goal,Other
3155,shot-on-goal,5v5
3158,shot-on-goal,5v5
3159,shot-on-goal,5v5
